Date,Net_Funding_Million_TRY
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,233435.26
2023-07-04,153883.32
2023-07-05,116586.6
2023-07-06,131528.35
2023-07-07,164698.33
2023-07-10,170576.03
2023-07-11,167637.9
2023-07-12,105976.06
2023-07-13,59859.94
2023-07-14,-43155.94
2023-07-17,-122546.3
2023-07-18,-176513.83
2023-07-19,-197109.6
2023-07-20,-165061.5
2023-07-21,-150331.0
2023-07-24,-146920.4
2023-07-25,-170924.3
2023-07-26,-121502.9
2023-07-27,-133317.9
2023-07-28,-99014.6
2023-07-31,-46559.3
2023-08-01,-127285.9
2023-08-02,-216212.6
2023-08-03,-259120.3
2023-08-04,186128.8
2023-08-07,187711.5
2023-08-08,153446.4
2023-08-09,202054.49
2023-08-10,132527.0
2023-08-11,20317.0
2023-08-14,14562.0
2023-08-15,14846.94
2023-08-16,1494.8
2023-08-17,531.4
2023-08-18,38349.1
2023-08-21,79564.7
2023-08-22,184740.72
2023-08-23,179909.07
2023-08-24,195586.52
2023-08-25,29499.0
2023-08-28,2624.6
2023-08-29,-24630.1
2023-08-30,
2023-08-31,-67056.4
2023-09-01,67835.5
2023-09-04,75070.5
2023-09-05,85049.4
2023-09-06,73964.55
2023-09-07,75337.48
2023-09-08,68990.54
2023-09-11,52944.7
2023-09-12,60271.1
2023-09-13,27985.78
2023-09-14,22717.9
2023-09-15,289126.49
2023-09-18,299633.2
2023-09-19,310054.61
2023-09-20,278657.3
2023-09-21,308259.4
2023-09-22,-199555.2
2023-09-25,-338788.3
2023-09-26,-336118.5
2023-09-27,-297472.4
2023-09-28,-258965.1
2023-09-29,153738.6
2023-10-02,60880.6
2023-10-03,58909.1
2023-10-04,58028.8
2023-10-05,56218.5
2023-10-06,31103.0
2023-10-09,-21815.0
2023-10-10,-52051.7
2023-10-11,-93321.9
2023-10-12,-112595.4
2023-10-13,-6913.5
2023-10-16,-15665.6
2023-10-17,-85868.2
2023-10-18,-67745.8
2023-10-19,-32342.9
2023-10-20,-51270.9
2023-10-23,-119442.2
2023-10-24,-149206.15
2023-10-25,-145667.52
2023-10-26,-225265.4
2023-10-27,-148214.1
2023-10-30,-216632.5
2023-10-31,-228622.6
2023-11-01,-163904.1
2023-11-02,-123754.7
2023-11-03,-139039.4
2023-11-06,-171837.2
2023-11-07,-144672.2
2023-11-08,-202516.7
2023-11-09,-179152.2
2023-11-10,75571.85
2023-11-13,49664.1
2023-11-14,43655.3
2023-11-15,44149.5
2023-11-16,26831.07
2023-11-17,47456.9
2023-11-20,20305.8
2023-11-21,18173.4
2023-11-22,-19912.7
2023-11-23,-30827.8
2023-11-24,-43725.3
2023-11-27,-32799.5
2023-11-28,-27227.2
2023-11-29,-25809.29
2023-11-30,-17944.8
2023-12-01,-14954.8
2023-12-04,-12120.5
2023-12-05,-15197.9
2023-12-06,-35283.6
2023-12-07,-66222.9
2023-12-08,-5535.6
2023-12-11,-21609.9
2023-12-12,-21588.2
2023-12-13,-21874.4
2023-12-14,-33327.1
2023-12-15,-41892.8
2023-12-18,-121555.0
2023-12-19,-197360.4
2023-12-20,-218429.7
2023-12-21,-263024.9
2023-12-22,-229727.99
2023-12-25,-298343.7
2023-12-26,-322324.8
2023-12-27,-324469.93
2023-12-28,-334921.2
2023-12-29,-363194.13
2024-01-01,
2024-01-02,-348727.7
2024-01-03,-400203.8
2024-01-04,-302913.3
2024-01-05,-214077.7
2024-01-08,-140433.7
2024-01-09,-117473.93
2024-01-10,-68981.5
2024-01-11,-132260.7
2024-01-12,-168927.33
2024-01-15,-292909.92
2024-01-16,-294211.8
2024-01-17,-279513.0
2024-01-18,-275399.8
2024-01-19,-220264.39
2024-01-22,-146335.4
2024-01-23,-70913.5
2024-01-24,-54993.8
2024-01-25,-54775.4
2024-01-26,-731878.3
2024-01-29,-665269.7
2024-01-30,-628653.7
2024-01-31,-740783.6
2024-02-01,-602119.9
2024-02-02,-122057.2
2024-02-05,-103879.3
2024-02-06,-103459.9
2024-02-07,-103343.8
2024-02-08,-110420.15
2024-02-09,-140210.1
2024-02-12,-133297.8
2024-02-13,-188856.0
2024-02-14,-191017.5
2024-02-15,-203360.7
2024-02-16,-175843.8
