Date,Transaction_Volume
2023-08-04,
2023-08-07,1724388.8
2023-08-08,
2023-08-09,59141330.0
2023-08-10,10284550.0
2023-08-11,9985000.0
2023-08-14,663305.6
2023-08-15,42496112.5
2023-08-16,39564745.0
2023-08-17,
2023-08-18,
2023-08-21,
2023-08-22,87492284.5
2023-08-23,199700.0
2023-08-24,9299656.0
2023-08-25,998500.0
2023-08-28,
2023-08-29,182262995.24
2023-08-30,
2023-08-31,
2023-09-01,599100.0
2023-09-04,1497750.0
2023-09-05,
2023-09-06,65985828.37
2023-09-07,
2023-09-08,
2023-09-11,
2023-09-12,70810977.75
2023-09-13,319520.0
2023-09-14,9985000.0
2023-09-15,206653.3
2023-09-18,61241003.76
2023-09-19,9985000.0
2023-09-20,
2023-09-21,34277262.5
2023-09-22,19870150.0
2023-09-25,34947500.0
2023-09-26,
2023-09-27,45201910.68
2023-09-28,1859725.2
2023-09-29,
2023-10-02,34947500.0
2023-10-03,
2023-10-04,41180405.0
2023-10-05,9985000.0
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,33752569.5
2023-10-12,27159200.0
2023-10-13,2196700.0
2023-10-16,2196700.0
2023-10-17,2196700.0
2023-10-18,38680950.0
2023-10-19,2995500.0
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,9985000.0
2023-10-27,
2023-10-30,
2023-10-31,38872972.64
2023-11-01,84372.75
2023-11-02,1629000.33
2023-11-03,5991000.0
2023-11-06,21169620.0
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,28724058.0
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,20914699.2
2023-11-21,
2023-11-22,15732048.45
2023-11-23,
2023-11-24,10020000.0
2023-11-27,1838372.52
2023-11-28,
2023-11-29,826047.8
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,21543740.0
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,4205135.03
2023-12-13,
2023-12-14,
2023-12-15,4992500.0
2023-12-18,
2023-12-19,
2023-12-20,10020000.0
2023-12-21,
2023-12-22,
2023-12-25,
2023-12-26,200400.0
2023-12-27,22143068.3
2023-12-28,
2023-12-29,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-15,71822111.66
2024-01-16,92401049.17
2024-01-17,57156249.55
2024-01-18,16735120.47
2024-01-19,12250297.8
2024-01-22,
